Wall time,Step,Value
1511995194.0425005,71753,9.0
1511995209.041476,71759,5.0
1511995538.206702,71859,5.0
1511995554.2644897,71861,9.0
1511996103.310304,72016,8.0
1511996673.5798218,72178,4.0
1511997197.4292922,72331,5.0
1511997681.08772,72470,11.0
1511998276.523331,72641,8.0
1511998754.5425966,72776,4.0
1512000392.9783983,73252,5.0
1512000557.0267057,73295,7.0
1512000775.0607672,73358,8.0
1512000856.7903955,73382,14.0
1512001750.225876,73645,17.0
1512004218.2690508,74359,8.0
1512005163.0152822,74624,8.0
1512006179.5272346,74925,4.0
1512006260.30773,74946,5.0
1512006536.9479132,75029,4.0
1512007751.413948,75386,7.0
1512008326.798194,75557,8.0
1512008712.7525396,75676,8.0
1512009495.626482,75888,8.0
1512009666.3063996,75936,8.0
1512010183.34498,76085,3.0
1512010355.2726789,76131,15.0
1512010749.83929,76247,22.0
1512011136.3147671,76364,16.0
1512011163.8223853,76368,8.0
1512012145.7452192,76655,19.0
1512013276.5503745,76988,23.0
1512014542.1088445,77359,23.0
1512015331.5220678,77593,24.0
1512015574.4111106,77666,22.0
1512017482.239058,78236,24.0
1512017713.6706364,78302,24.0
1512017989.4042754,78377,24.0
1512018045.3375363,78397,12.0
1512018173.41184,78431,24.0
1512018288.1112201,78465,29.0
1512019702.1516292,78877,22.0
1512020332.5767345,79055,40.0
1512021632.1576362,79432,24.0
1512021827.4179623,79493,23.0
1512021827.6322577,79492,24.0
1512022052.5986989,79557,32.0
1512022282.0986445,79625,23.0
1512023066.0400918,79848,33.0
1512023121.4361699,79865,31.0
1512023586.4794672,80008,24.0
1512023666.5658884,80034,20.0
1512023785.932483,80071,28.0
1512025122.9618475,80454,25.0
1512025191.9138277,80473,24.0
1512025541.9783099,80575,34.0
1512026442.3680165,80839,22.0
1512026826.3078647,80952,24.0
1512026954.8834832,80989,33.0
1512028405.7583373,81410,16.0
1512031093.9057722,82196,13.0
1512031207.030783,82228,25.0
1512031467.3547823,82307,29.0
1512032226.616221,82533,21.0
1512032392.3704433,82587,23.0
1512032864.5167978,82725,35.0
1512034520.3213272,83220,23.0
1512035069.4232934,83381,30.0
1512035971.1602292,83655,22.0
1512036697.5278082,83867,24.0
1512037339.7065969,84063,24.0
1512037604.8942695,84145,24.0
1512038043.597028,84276,35.0
1512038723.92355,84479,23.0
1512038835.039194,84514,19.0
1512038945.5119104,84544,20.0
1512039225.2188888,84627,20.0
1512039729.9669693,84778,34.0
1512040365.303935,84966,13.0
1512040474.436772,84997,22.0
1512040587.7939827,85029,24.0
1512040962.2738333,85144,34.0
1512041189.4788702,85206,30.0
1512042097.6061282,85472,24.0
1512044669.794686,86238,35.0
1512044719.4285018,86251,22.0
1512044961.335681,86323,18.0
1512045421.5443783,86466,31.0
1512046723.0807412,86852,22.0
1512046905.0674722,86909,23.0
1512047619.7541807,87125,23.0
1512048176.6344254,87291,6.0
1512049192.6872373,87596,24.0
1512051012.096339,88133,30.0
1512051466.7910988,88274,29.0
1512052959.4592137,88722,24.0
1512053241.816589,88806,24.0
1512053290.037751,88822,24.0
1512054593.0294335,89204,24.0
1512054662.1190815,89221,13.0
1512055092.6286213,89354,9.0
1512055355.9406183,89431,23.0
1512055559.44377,89494,27.0
1512056229.7800963,89696,15.0
1512056942.0648427,89909,16.0
1512059065.151329,90553,33.0
1512059747.7630665,90760,32.0
1512060820.374343,91081,28.0
1512060892.8892846,91101,24.0
1512060915.5125718,91106,24.0
1512061191.8728771,91191,22.0
1512061201.8124037,91195,28.0
1512062418.160983,91554,25.0
1512062494.5947595,91579,24.0
1512064557.0942817,92188,23.0
1512064746.753388,92248,37.0
1512065864.558112,92585,26.0
1512066192.5142124,92679,16.0
1512067024.872271,92931,5.0
1512068528.3749115,93361,4.0
1512070169.6604953,93839,5.0
1512070696.756405,93994,5.0
1512071555.118426,94243,5.0
1512071919.1629453,94353,6.0
1512072493.6268752,94516,6.0
1512072932.1883678,94642,5.0
1512073403.5807679,94779,6.0
1512073596.1170294,94835,7.0
1512073714.4477048,94867,5.0
1512073951.23526,94939,7.0
1512075252.2480705,95316,4.0
1512075572.2981856,95408,5.0
1512075646.4950566,95431,6.0
1512076791.3789747,95760,4.0
1512077617.7712624,95994,5.0
1512077835.6490555,96058,6.0
1512079743.8912709,96610,5.0
1512079996.8414185,96685,5.0
1512080660.6659894,96872,5.0
1512081296.1583726,97052,5.0
1512081803.7069232,97203,5.0
1512081997.9520278,97256,5.0
1512082264.419204,97331,5.0
1512082646.8289957,97448,5.0
1512083166.075798,97603,5.0
1512083404.068024,97670,5.0
1512084088.5565362,97864,6.0
1512084334.5936267,97933,4.0
1512084502.956435,97982,6.0
1512086325.0606337,98514,5.0
1512087821.2881355,98965,4.0
1512088158.1914046,99067,4.0
1512088181.928079,99073,3.0
1512089107.706845,99344,5.0
1512091420.0183287,100025,11.0
1512091500.9193585,100049,13.0
1512092045.7409317,100210,11.0
1512092401.6208546,100316,10.0
1512092597.8685153,100376,12.0
1512092854.108124,100456,17.0
1512093116.6084535,100531,19.0
1512093402.5055583,100612,14.0
1512093666.4608183,100692,19.0
1512094006.6740897,100794,12.0
1512094314.959323,100889,18.0
1512094553.9732912,100958,17.0
1512095971.641266,101383,19.0
1512096034.405478,101401,12.0
1512097268.7725034,101764,17.0
1512097968.3764122,101968,19.0
1512098073.3310914,102000,21.0
1512098254.5457604,102054,8.0
1512098541.5207353,102144,13.0
1512099174.8819726,102339,19.0
1512099284.1440134,102370,18.0
1512099468.676097,102425,19.0
1512099575.5082388,102460,12.0
1512099617.1918874,102471,19.0
1512100268.8652177,102665,21.0
1512101142.7764218,102921,16.0
1512101327.9473305,102976,16.0
1512102744.5816462,103406,23.0
1512103829.680291,103733,21.0
1512104025.584857,103793,16.0
1512105284.436716,104164,20.0
1512105628.4997885,104267,20.0
1512105671.2232578,104281,21.0
1512105871.7152126,104340,20.0
1512105924.5949867,104356,23.0
1512105971.8713412,104371,21.0
1512106008.411317,104382,21.0
1512106141.3852,104422,24.0
1512106561.5964015,104552,22.0
1512107695.6368928,104893,20.0
1512108268.64932,105069,16.0
1512108577.705689,105161,22.0
1512108824.334835,105233,22.0
1512108868.7748406,105247,13.0
1512110255.8707242,105669,23.0
1512110438.8666766,105726,23.0
1512110837.5343573,105850,18.0
1512111383.930896,106025,18.0
1512111679.719872,106123,24.0
1512112014.6949887,106230,22.0
1512113120.6388626,106562,35.0
1512115284.7547677,107222,34.0
1512115529.9118085,107295,21.0
1512116145.026191,107480,29.0
1512117577.4949665,107908,31.0
1512118025.6541634,108046,27.0
1512120182.6634128,108701,15.0
1512120194.2255204,108703,24.0
1512120379.3430943,108761,24.0
1512121063.928417,108960,14.0
1512122107.0344899,109282,25.0
1512122940.402955,109522,21.0
1512123373.7302108,109650,17.0
1512123477.528462,109682,33.0
1512124150.0317357,109877,29.0
1512124724.815648,110046,9.0
1512124848.6166015,110082,22.0
1512124911.4081635,110099,13.0
1512125227.7632005,110196,23.0
1512126751.7827423,110654,12.0
1512126883.515946,110693,21.0
1512127171.9596274,110780,21.0
1512127880.6816275,111005,20.0
1512128393.9038205,111156,18.0
1512129127.278122,111374,14.0
1512131030.5344472,111931,24.0
1512131650.6758802,112123,13.0
1512131772.698609,112162,23.0
1512132450.0613146,112361,20.0
1512133800.627712,112781,22.0
1512134693.0513213,113048,20.0
1512135194.9776993,113202,22.0
1512135946.1616113,113436,24.0
1512136965.077818,113750,23.0
1512137506.5219812,113918,17.0
