Wall time,Step,Value
1512478967.8215055,33541,21.0
1512479358.908102,33633,20.0
1512479771.687667,33729,21.0
1512479808.1697803,33739,22.0
1512479850.3881958,33750,20.0
1512479927.3991282,33770,20.0
1512480000.8498385,33787,19.0
1512480224.9099045,33841,19.0
1512480279.9817884,33853,20.0
1512480384.9754245,33880,23.0
1512480545.5322247,33914,22.0
1512480998.9401703,34020,20.0
1512481075.9557326,34037,20.0
1512481100.2537885,34045,19.0
1512481291.1774948,34090,21.0
1512481498.523481,34143,20.0
1512481515.1021566,34146,17.0
1512482424.56278,34364,20.0
1512482511.3224504,34385,18.0
1512482741.9797513,34440,19.0
1512483095.512985,34525,18.0
1512483112.7429638,34528,16.0
1512483281.2707472,34567,19.0
1512483417.1420727,34599,16.0
1512483456.2258313,34610,18.0
1512484216.406037,34785,17.0
1512484651.6329243,34880,17.0
1512485539.2274368,35080,16.0
1512485704.666387,35119,19.0
1512485958.5223343,35179,17.0
1512486296.026764,35256,19.0
1512486650.4117017,35333,17.0
1512486739.9743502,35355,17.0
1512486781.8753185,35366,15.0
1512486847.3237662,35377,18.0
1512486848.586066,35379,18.0
1512487298.0286539,35482,19.0
1512487298.584827,35485,16.0
1512487702.2921755,35572,19.0
1512487702.7462902,35574,16.0
1512488583.8636875,35772,20.0
1512488623.6159995,35779,21.0
1512488898.2095985,35847,16.0
1512488932.0307434,35851,20.0
1512489369.438663,35955,19.0
1512489430.5138874,35972,8.0
1512489720.1052198,36039,20.0
1512489798.9817994,36059,19.0
1512490233.969451,36165,20.0
1512490523.4990737,36235,14.0
1512490586.5664604,36249,18.0
1512490655.9436338,36264,19.0
1512490703.2324038,36277,17.0
1512490859.4625175,36312,20.0
1512490969.2979696,36338,18.0
1512491928.8540757,36571,21.0
1512492187.6061933,36631,18.0
1512492324.6351922,36660,18.0
1512492402.1900215,36680,17.0
1512492751.2908874,36766,17.0
1512492917.9922361,36808,19.0
1512492946.394922,36812,17.0
1512492985.1772308,36821,19.0
1512493103.8741722,36852,16.0
1512493339.4928641,36909,18.0
1512493936.9866889,37055,20.0
1512494407.6849918,37170,20.0
1512494557.0276818,37204,19.0
1512495010.9757204,37313,20.0
1512495584.8266714,37457,19.0
1512495722.4692278,37491,21.0
1512496862.7023358,37766,20.0
1512497046.2513826,37809,19.0
1512497318.9365568,37878,19.0
1512498639.770857,38194,17.0
1512498876.3913398,38249,19.0
1512498919.144911,38263,20.0
1512499360.4260993,38367,19.0
1512499664.5654252,38441,19.0
1512499734.2861211,38457,21.0
1512499778.0946813,38469,19.0
1512499932.1441326,38502,17.0
1512500246.1661608,38581,19.0
1512500514.4896624,38643,19.0
1512500521.0739954,38644,17.0
1512500748.046207,38702,17.0
1512500829.0298831,38724,19.0
1512501004.9397116,38764,20.0
1512501331.6648016,38843,20.0
1512501909.5809717,38983,18.0
1512501989.7958694,39004,19.0
1512501989.7992086,39007,19.0
1512502569.8772974,39145,20.0
1512502953.1683302,39239,21.0
1512503205.9235625,39298,20.0
1512503248.617156,39309,17.0
1512504424.9369037,39593,17.0
1512504894.7144468,39705,20.0
1512505010.8246844,39732,19.0
1512505206.7861753,39782,23.0
1512505615.7214851,39880,18.0
1512505732.8809278,39911,19.0
1512505764.359526,39916,17.0
1512505838.9138484,39933,20.0
1512506209.333888,40022,20.0
1512507065.0115538,40226,18.0
1512507346.994059,40297,20.0
1512508161.8655274,40490,17.0
1512508202.0491984,40503,19.0
1512508338.0655317,40534,19.0
1512508435.8231325,40561,19.0
1512508818.9920757,40649,18.0
1512508859.034343,40659,20.0
1512508870.0845554,40665,20.0
1512508898.9543526,40669,20.0
1512509018.266947,40699,18.0
1512509018.3635964,40702,19.0
1512509096.1843216,40717,20.0
1512509113.4504771,40722,20.0
1512509413.870828,40795,19.0
1512510448.5228596,41042,20.0
1512510806.390748,41130,20.0
1512510920.491654,41155,18.0
1512511276.506596,41245,18.0
1512511395.9878585,41270,19.0
1512511707.6497233,41343,18.0
1512511988.5516014,41411,22.0
1512512318.9419339,41493,20.0
1512512540.598546,41541,17.0
1512512588.6501582,41557,19.0
1512512824.758431,41611,19.0
1512513536.2848797,41781,17.0
1512513813.794676,41845,21.0
1512513929.6088552,41876,17.0
1512514501.2264783,42008,19.0
1512514521.6810002,42013,20.0
1512515048.3024912,42136,17.0
1512515146.6326935,42160,18.0
1512515184.637761,42169,18.0
1512515245.3135142,42184,18.0
1512515498.3246179,42246,19.0
1512515895.7288992,42340,19.0
1512516369.8488693,42453,18.0
1512516452.523597,42471,18.0
1512516572.9454052,42502,20.0
1512517043.1187522,42610,20.0
1512517361.3856833,42680,20.0
1512517762.5646985,42778,19.0
1512518435.1799896,42933,21.0
1512518554.8519726,42965,19.0
1512518635.532726,42984,19.0
1512518815.980928,43022,21.0
1512519924.8579779,43279,20.0
1512520764.3613336,43476,18.0
1512520949.1993983,43520,16.0
1512521107.8474097,43557,21.0
1512521226.1803744,43583,20.0
1512521330.796939,43607,20.0
1512521469.7923317,43641,19.0
1512521768.4600153,43712,19.0
1512521887.356141,43741,19.0
1512521913.0099397,43744,19.0
1512521967.7338626,43760,20.0
1512522085.5886934,43785,18.0
1512522169.0556948,43807,20.0
1512522912.368331,43978,21.0
1512522913.8344505,43982,20.0
1512522991.846431,43995,22.0
1512523342.0044844,44073,20.0
1512523378.5643418,44081,18.0
1512523528.4599895,44115,21.0
1512523936.6710167,44202,20.0
1512523973.0397494,44209,19.0
1512524158.3373194,44252,19.0
1512524384.8976545,44306,18.0
1512524560.4630318,44346,19.0
1512524849.276137,44406,17.0
1512525252.0190957,44503,20.0
1512525425.5323403,44541,20.0
1512525598.4534411,44587,20.0
1512525614.666946,44588,19.0
1512525854.6592436,44647,18.0
1512526215.0768573,44731,20.0
1512526318.9323742,44755,20.0
1512526526.2808518,44804,20.0
1512526563.8660734,44818,20.0
1512527172.0951698,44966,7.0
1512527293.0330322,44997,4.0
1512527539.0687647,45053,6.0
1512527759.7492793,45106,5.0
1512528636.2069292,45312,6.0
1512528670.8121393,45320,4.0
1512528885.406428,45374,4.0
1512529477.278548,45509,4.0
1512529622.6962981,45544,7.0
1512530110.9345663,45660,6.0
1512530591.8958385,45773,5.0
1512530874.6466155,45843,4.0
1512531016.9935849,45874,6.0
1512531694.3951535,46026,6.0
1512531729.5252852,46035,4.0
1512531831.4235082,46064,5.0
1512531970.6399715,46094,6.0
1512532107.706792,46127,6.0
1512532298.1488001,46171,5.0
1512532329.3766222,46179,6.0
1512532454.8516378,46207,7.0
1512532935.949458,46320,8.0
1512533000.6938405,46336,3.0
1512533253.7728457,46397,5.0
1512533322.1358376,46413,4.0
1512533700.0711114,46502,5.0
1512533734.0355098,46510,6.0
1512534540.8065507,46698,6.0
1512534753.356664,46750,6.0
1512536097.6064062,47058,5.0
1512536681.9468856,47202,6.0
1512536858.0251465,47244,7.0
1512537106.0144246,47296,6.0
1512537138.8630013,47303,5.0
1512537211.6837397,47322,4.0
1512537316.5887647,47349,5.0
1512537703.4875853,47437,5.0
1512537946.015258,47491,6.0
1512538190.4043748,47553,7.0
1512538226.128684,47559,7.0
1512538331.927794,47584,5.0
1512538576.7551303,47640,5.0
1512538577.113181,47644,6.0
1512538646.6929066,47656,4.0
1512538713.2475066,47672,8.0
1512538812.8748975,47695,6.0
1512538854.4906034,47710,7.0
1512538995.9003334,47741,5.0
1512539030.3335955,47746,4.0
1512539066.1777718,47759,5.0
1512539553.3603148,47872,5.0
1512539616.7179573,47884,6.0
1512539622.4140103,47888,6.0
1512539806.1508677,47931,6.0
1512539833.2401018,47936,7.0
1512539901.7219834,47949,4.0
1512539972.4189785,47972,6.0
1512540433.210701,48076,4.0
1512540640.9948864,48121,5.0
1512540888.7204885,48183,8.0
1512540956.5094752,48199,6.0
1512541094.2598417,48230,5.0
1512541924.939459,48423,5.0
1512542114.6198933,48467,6.0
1512542322.7537658,48516,4.0
1512542358.4934075,48524,6.0
1512542819.0920668,48633,6.0
1512542890.4200113,48653,5.0
1512543736.7148283,48845,6.0
1512544328.958614,48985,5.0
1512545565.7371187,49272,5.0
1512545825.6547773,49328,4.0
1512545934.4592838,49351,4.0
1512546491.5253341,49479,7.0
1512546816.151023,49560,4.0
1512547096.4047985,49621,6.0
1512547167.328357,49641,7.0
1512547416.3275282,49699,6.0
1512547913.974704,49814,6.0
1512548244.7070005,49893,5.0
1512548720.5075543,50006,5.0
1512548924.7719507,50059,6.0
1512549089.6501815,50095,6.0
1512549329.831355,50151,4.0
1512549397.5933464,50167,8.0
1512549500.0907605,50197,5.0
1512549805.4589014,50271,3.0
1512550267.2069526,50385,5.0
1512550636.477174,50471,6.0
1512550905.8464842,50539,6.0
1512551277.5617173,50628,6.0
1512551296.4330466,50633,6.0
1512551311.6482365,50639,6.0
1512552073.1272833,50821,5.0
1512552740.4528232,50985,5.0
1512552889.6726649,51020,4.0
1512553366.7396605,51131,6.0
1512553367.2429142,51136,6.0
1512553748.7646832,51228,4.0
1512553980.9771307,51284,6.0
1512554229.1034715,51344,6.0
1512554627.720047,51439,6.0
1512555448.7814765,51642,7.0
1512555895.1101518,51752,4.0
1512556075.6349068,51796,5.0
1512556105.023474,51800,7.0
1512556134.3585851,51807,6.0
1512556748.6673543,51957,7.0
1512556923.7563741,52003,6.0
1512557219.5240788,52069,6.0
1512557224.2288644,52071,6.0
1512557908.2734766,52236,6.0
1512558141.147092,52292,6.0
1512558257.5730045,52322,5.0
1512558389.578168,52355,6.0
1512558494.551751,52381,7.0
1512558524.314927,52388,6.0
1512559024.0659602,52512,5.0
1512559112.3427694,52533,5.0
1512559414.1497285,52605,7.0
1512559577.6762857,52643,6.0
1512559723.4056153,52684,6.0
1512560159.0936325,52785,4.0
1512560220.9006639,52801,5.0
1512560664.2568007,52910,5.0
1512560780.919279,52938,5.0
1512561047.3717725,53006,7.0
1512561104.7416184,53015,6.0
1512561432.3784018,53097,4.0
1512561490.506053,53109,4.0
1512561639.6299994,53145,6.0
1512562701.2307384,53403,6.0
1512562730.256759,53411,5.0
1512562966.219668,53470,6.0
1512563026.1857245,53483,6.0
1512563709.094506,53648,4.0
1512563961.9072356,53708,6.0
1512563987.312064,53715,6.0
1512564008.9867795,53718,6.0
1512564028.939969,53723,6.0
1512564457.7884743,53826,5.0
